Iteration 1:
('No evidence of invasion.', 'Evidence of invasion into surrounding tissues.'), Score: 0.6849
('Normal eosinophilic cytoplasm.', 'Increased eosinophilic cytoplasm.'), Score: 0.6238
('No lymphovascular invasion.', 'Lymphovascular invasion present.'), Score: 0.6231
('Normal number of mast cells.', 'Increased number of mast cells.'), Score: 0.6230
('No granulomas.', 'Presence of granulomas.'), Score: 0.6202
('Lymphocytes with regular nuclear contours.', 'Lymphocytes with irregular nuclear contours.'), Score: 0.6199
('Small, uniform nuclei.', 'Large, pleomorphic nuclei.'), Score: 0.6172
('Normal medullary cords.', 'Hyperplastic medullary cords.'), Score: 0.6165
('No fibrosis.', 'Increased fibrosis.'), Score: 0.6162
('No atypical lymphocytes.', 'Presence of atypical lymphocytes.'), Score: 0.6151
('No capsular involvement.', 'Capsular involvement by tumor.'), Score: 0.6133
('No prominent nucleoli.', 'Prominent nucleoli in cells.'), Score: 0.6119
('No angioinvasion.', 'Evidence of angioinvasion.'), Score: 0.6113
('Cells with normal nuclear-to-cytoplasmic ratio.', 'Cells with increased nuclear-to-cytoplasmic ratio.'), Score: 0.6106
('No capsular effacement.', 'Capsular effacement by tumor.'), Score: 0.6101
('Lymphocytes with low N/C ratio.', 'Lymphocytes with high N/C ratio.'), Score: 0.6096
('Regular nuclear morphology.', 'Irregular nuclear morphology.'), Score: 0.6078
('No prominent Golgi apparatus.', 'Prominent Golgi apparatus in cells.'), Score: 0.6070
('No loss of follicular architecture.', 'Loss of follicular architecture.'), Score: 0.6065
('No nuclear pleomorphism.', 'Nuclear pleomorphism present.'), Score: 0.6057
('Normal lymphocyte size.', 'Increased lymphocyte size.'), Score: 0.6038
('No fibrosis.', 'Prominent fibrosis.'), Score: 0.6037
('Normal number of mitotic figures in germinal centers.', 'Increased number of mitotic figures in germinal centers.'), Score: 0.6032

Iteration 80:
('No hemorrhage.', 'Evidence of hemorrhage.'), Score: 0.7577
('No eosinophilic inclusions.', 'Eosinophilic inclusions within cells.'), Score: 0.7496
('No vascular invasion.', 'Evidence of vascular invasion.'), Score: 0.7271
('No vascular invasion.', 'Vascular invasion present.'), Score: 0.7262
('No nuclear pleomorphism.', 'Nuclear pleomorphism.'), Score: 0.7248
('No tingible body macrophages.', 'Increased tingible body macrophages.'), Score: 0.7237
('No extra-follicular proliferation.', 'Extra-follicular proliferation present.'), Score: 0.7153
('No increase in mitotic activity.', 'Increased mitotic activity.'), Score: 0.7119
('No increased vascularity.', 'Increased vascularity.'), Score: 0.7092
('No atypical cells in the interfollicular zone.', 'Presence of atypical cells in the interfollicular zone.'), Score: 0.7075
('Lymphocytes are small and round.', 'Lymphocytes are large and atypical.'), Score: 0.7071
('No sinusoidal dilation.', 'Sinusoidal dilation present.'), Score: 0.6961
('No evidence of capsular invasion.', 'Capsular invasion present.'), Score: 0.6961
('No tingible body macrophages.', 'Increased number of tingible body macrophages.'), Score: 0.6914
('No hemorrhage.', 'Hemorrhage present.'), Score: 0.6902
('No perinuclear halo.', 'Prominent perinuclear halo.'), Score: 0.6895
('No fibrosis.', 'Fibrosis present.'), Score: 0.6876
('No increased eosinophilic cytoplasm.', 'Increased eosinophilic cytoplasm in cells.'), Score: 0.6859
('No capsular effacement.', 'Capsular effacement.'), Score: 0.6842
('No prominent nucleoli.', 'Prominent nucleoli observed.'), Score: 0.6830
('Uniformly distributed lymphocytes.', 'Clustered lymphocyte aggregates.'), Score: 0.6821
('No evidence of lymphangitis.', 'Evidence of lymphangitis.'), Score: 0.6805
('No neutrophils.', 'Infiltration of neutrophils.'), Score: 0.6794
('Uniform nuclear staining.', 'Heterogeneous nuclear staining.'), Score: 0.6776
('No nuclear pleomorphism.', 'Nuclear pleomorphism observed.'), Score: 0.6758
('No evidence of tumor cell invasion into fat.', 'Tumor cell invasion into fat.'), Score: 0.6741
('Regular follicular architecture.', 'Disrupted follicular architecture.'), Score: 0.6729
('Organized lymphoid architecture.', 'Disrupted lymphoid architecture.'), Score: 0.6706
('No vascular congestion.', 'Vascular congestion present.'), Score: 0.6703
('Absence of giant cells.', 'Presence of multinucleated giant cells.'), Score: 0.6702
('No loss of follicular polarity.', 'Loss of follicular polarity.'), Score: 0.6683
('No loss of normal nodal architecture.', 'Loss of normal nodal architecture.'), Score: 0.6628
('Normal lymphocyte morphology in the paracortex.', 'Atypical lymphocyte morphology in the paracortex.'), Score: 0.6617
('Normal staining of collagen.', 'Increased staining of collagen.'), Score: 0.6596
('No capsular involvement.', 'Capsular involvement present.'), Score: 0.6582
('No tingible body macrophages.', 'Tingible body macrophages present.'), Score: 0.6575
('No angioinvasion.', 'Angioinvasion.'), Score: 0.6571
('No fibrosis.', 'Presence of fibrosis.'), Score: 0.6527
('No sinusoidal infiltration.', 'Sinusoidal infiltration present.'), Score: 0.6484
('No giant cells.', 'Presence of giant cells.'), Score: 0.6473
('Uniform cell size and shape.', 'Variable cell size and shape.'), Score: 0.6466
('No prominent nucleoli.', 'Presence of prominent nucleoli in cells.'), Score: 0.6461
('Lymphocytes with regular nuclear features.', 'Lymphocytes with irregular nuclear features.'), Score: 0.6450
('No angiolymphatic invasion.', 'Angiolymphatic invasion by tumor cells.'), Score: 0.6410
('No granulomas present.', 'Granulomas present.'), Score: 0.6370
('Absence of hyaline globules.', 'Presence of hyaline globules.'), Score: 0.6367
('Absence of prominent nucleoli.', 'Presence of prominent nucleoli.'), Score: 0.6348
('No irregular nuclear membrane.', 'Irregular nuclear membrane.'), Score: 0.6327
('Scant cytoplasm in lymphocytes.', 'Abundant cytoplasm in lymphocytes.'), Score: 0.6311
('No perinuclear halo.', 'Perinuclear halo present.'), Score: 0.6304
('No extravasated red blood cells.', 'Extravasated red blood cells observed.'), Score: 0.6268
('No lymphoganglionic sinus dilation.', 'Lymphoganglionic sinus dilation.'), Score: 0.6266
('No eosinophilic inclusions.', 'Eosinophilic inclusions present.'), Score: 0.6263
('No giant cells.', 'Presence of multinucleated giant cells.'), Score: 0.6256
('Normal eosinophilic cytoplasm.', 'Increased eosinophilic cytoplasm.'), Score: 0.6238
('No lymphovascular invasion.', 'Lymphovascular invasion present.'), Score: 0.6231
('Normal number of mast cells.', 'Increased number of mast cells.'), Score: 0.6230
('No granulomas.', 'Presence of granulomas.'), Score: 0.6202
('Lymphocytes with regular nuclear contours.', 'Lymphocytes with irregular nuclear contours.'), Score: 0.6199
('Small, uniform nuclei.', 'Large, pleomorphic nuclei.'), Score: 0.6172
('Normal medullary cords.', 'Hyperplastic medullary cords.'), Score: 0.6165
('No fibrosis.', 'Increased fibrosis.'), Score: 0.6162
('No atypical lymphocytes.', 'Presence of atypical lymphocytes.'), Score: 0.6151
('No capsular involvement.', 'Capsular involvement by tumor.'), Score: 0.6133
('No prominent nucleoli.', 'Prominent nucleoli in cells.'), Score: 0.6119
('No angioinvasion.', 'Evidence of angioinvasion.'), Score: 0.6113
('Cells with normal nuclear-to-cytoplasmic ratio.', 'Cells with increased nuclear-to-cytoplasmic ratio.'), Score: 0.6106
('No capsular effacement.', 'Capsular effacement by tumor.'), Score: 0.6101
('Lymphocytes with low N/C ratio.', 'Lymphocytes with high N/C ratio.'), Score: 0.6096
('Regular nuclear morphology.', 'Irregular nuclear morphology.'), Score: 0.6078
('No prominent Golgi apparatus.', 'Prominent Golgi apparatus in cells.'), Score: 0.6070
('No loss of follicular architecture.', 'Loss of follicular architecture.'), Score: 0.6065
('No nuclear pleomorphism.', 'Nuclear pleomorphism present.'), Score: 0.6057
('Normal lymphocyte size.', 'Increased lymphocyte size.'), Score: 0.6038
('No fibrosis.', 'Prominent fibrosis.'), Score: 0.6037
('Normal number of mitotic figures in germinal centers.', 'Increased number of mitotic figures in germinal centers.'), Score: 0.6032

Iteration 90:
('No hemorrhage.', 'Evidence of hemorrhage.'), Score: 0.7577
('No eosinophilic inclusions.', 'Eosinophilic inclusions within cells.'), Score: 0.7496
('No vascular invasion.', 'Evidence of vascular invasion.'), Score: 0.7271
('No vascular invasion.', 'Vascular invasion present.'), Score: 0.7262
('No nuclear pleomorphism.', 'Nuclear pleomorphism.'), Score: 0.7248
('No tingible body macrophages.', 'Increased tingible body macrophages.'), Score: 0.7237
('Uniform lymphocyte size and shape.', 'Pleomorphic lymphocyte size and shape.'), Score: 0.7174
('No extra-follicular proliferation.', 'Extra-follicular proliferation present.'), Score: 0.7153
('No increase in mitotic activity.', 'Increased mitotic activity.'), Score: 0.7119
('No increased vascularity.', 'Increased vascularity.'), Score: 0.7092
('No atypical cells in the interfollicular zone.', 'Presence of atypical cells in the interfollicular zone.'), Score: 0.7075
('Lymphocytes are small and round.', 'Lymphocytes are large and atypical.'), Score: 0.7071
('No sinusoidal dilation.', 'Sinusoidal dilation present.'), Score: 0.6961
('No evidence of capsular invasion.', 'Capsular invasion present.'), Score: 0.6961
('No tingible body macrophages.', 'Increased number of tingible body macrophages.'), Score: 0.6914
('No hemorrhage.', 'Hemorrhage present.'), Score: 0.6902
('No perinuclear halo.', 'Prominent perinuclear halo.'), Score: 0.6895
('No fibrosis.', 'Fibrosis present.'), Score: 0.6876
('No increased eosinophilic cytoplasm.', 'Increased eosinophilic cytoplasm in cells.'), Score: 0.6859
('No capsular effacement.', 'Capsular effacement.'), Score: 0.6842
('No prominent nucleoli.', 'Prominent nucleoli observed.'), Score: 0.6830
('No stromal desmoplasia.', 'Stromal desmoplasia observed.'), Score: 0.6828
('Uniformly distributed lymphocytes.', 'Clustered lymphocyte aggregates.'), Score: 0.6821
('No evidence of lymphangitis.', 'Evidence of lymphangitis.'), Score: 0.6805
('No neutrophils.', 'Infiltration of neutrophils.'), Score: 0.6794
('Uniform nuclear staining.', 'Heterogeneous nuclear staining.'), Score: 0.6776
('No nuclear pleomorphism.', 'Nuclear pleomorphism observed.'), Score: 0.6758
('No fibrosis.', 'Increased fibrosis present.'), Score: 0.6755
('No evidence of tumor cell invasion into fat.', 'Tumor cell invasion into fat.'), Score: 0.6741
('Regular follicular architecture.', 'Disrupted follicular architecture.'), Score: 0.6729
('No sinusoidal dilation.', 'Sinusoidal dilation observed.'), Score: 0.6712
('Organized lymphoid architecture.', 'Disrupted lymphoid architecture.'), Score: 0.6706
('No vascular congestion.', 'Vascular congestion present.'), Score: 0.6703
('Absence of giant cells.', 'Presence of multinucleated giant cells.'), Score: 0.6702
('No loss of follicular polarity.', 'Loss of follicular polarity.'), Score: 0.6683
('No loss of normal nodal architecture.', 'Loss of normal nodal architecture.'), Score: 0.6628
('Normal lymphocyte morphology in the paracortex.', 'Atypical lymphocyte morphology in the paracortex.'), Score: 0.6617
('Normal staining of collagen.', 'Increased staining of collagen.'), Score: 0.6596
('No capsular involvement.', 'Capsular involvement present.'), Score: 0.6582
('No tingible body macrophages.', 'Tingible body macrophages present.'), Score: 0.6575
('No angioinvasion.', 'Angioinvasion.'), Score: 0.6571
('No fibrosis.', 'Presence of fibrosis.'), Score: 0.6527
('No eosinophilic granular bodies.', 'Presence of eosinophilic granular bodies.'), Score: 0.6507
('No sinusoidal infiltration.', 'Sinusoidal infiltration present.'), Score: 0.6484
('No eosinophilic inclusions.', 'Eosinophilic inclusions observed.'), Score: 0.6481
('No giant cells.', 'Presence of giant cells.'), Score: 0.6473
('Uniform cell size and shape.', 'Variable cell size and shape.'), Score: 0.6466
('No prominent nucleoli.', 'Presence of prominent nucleoli in cells.'), Score: 0.6461
('Lymphocytes with regular nuclear features.', 'Lymphocytes with irregular nuclear features.'), Score: 0.6450
('No angiolymphatic invasion.', 'Angiolymphatic invasion by tumor cells.'), Score: 0.6410
('No granulomas present.', 'Granulomas present.'), Score: 0.6370
('Absence of hyaline globules.', 'Presence of hyaline globules.'), Score: 0.6367
('Absence of prominent nucleoli.', 'Presence of prominent nucleoli.'), Score: 0.6348
('No irregular nuclear membrane.', 'Irregular nuclear membrane.'), Score: 0.6327
('Scant cytoplasm in lymphocytes.', 'Abundant cytoplasm in lymphocytes.'), Score: 0.6311
('No perinuclear halo.', 'Perinuclear halo present.'), Score: 0.6304
('No giant cells.', 'Giant cells present.'), Score: 0.6283
('No extravasated red blood cells.', 'Extravasated red blood cells observed.'), Score: 0.6268
('No lymphoganglionic sinus dilation.', 'Lymphoganglionic sinus dilation.'), Score: 0.6266
('No eosinophilic inclusions.', 'Eosinophilic inclusions present.'), Score: 0.6263
('No giant cells.', 'Presence of multinucleated giant cells.'), Score: 0.6256
('Normal eosinophilic cytoplasm.', 'Increased eosinophilic cytoplasm.'), Score: 0.6238
('No lymphovascular invasion.', 'Lymphovascular invasion present.'), Score: 0.6231
('Normal number of mast cells.', 'Increased number of mast cells.'), Score: 0.6230
('No granulomas.', 'Presence of granulomas.'), Score: 0.6202
('Lymphocytes with regular nuclear contours.', 'Lymphocytes with irregular nuclear contours.'), Score: 0.6199
('Regular nuclear size and shape.', 'Irregular nuclear size and shape.'), Score: 0.6181
('Small, uniform nuclei.', 'Large, pleomorphic nuclei.'), Score: 0.6172
('Normal medullary cords.', 'Hyperplastic medullary cords.'), Score: 0.6165
('No fibrosis.', 'Increased fibrosis.'), Score: 0.6162
('No atypical lymphocytes.', 'Presence of atypical lymphocytes.'), Score: 0.6151
('No capsular involvement.', 'Capsular involvement by tumor.'), Score: 0.6133
('No prominent nucleoli.', 'Prominent nucleoli in cells.'), Score: 0.6119
('No angioinvasion.', 'Evidence of angioinvasion.'), Score: 0.6113
('Cells with normal nuclear-to-cytoplasmic ratio.', 'Cells with increased nuclear-to-cytoplasmic ratio.'), Score: 0.6106
('No capsular effacement.', 'Capsular effacement by tumor.'), Score: 0.6101
('Lymphocytes with low N/C ratio.', 'Lymphocytes with high N/C ratio.'), Score: 0.6096
('Normal follicular architecture.', 'Disrupted follicular architecture.'), Score: 0.6090
('Regular nuclear morphology.', 'Irregular nuclear morphology.'), Score: 0.6078
('No prominent Golgi apparatus.', 'Prominent Golgi apparatus in cells.'), Score: 0.6070
('No loss of follicular architecture.', 'Loss of follicular architecture.'), Score: 0.6065
('No nuclear pleomorphism.', 'Nuclear pleomorphism present.'), Score: 0.6057
('Normal lymphocyte size.', 'Increased lymphocyte size.'), Score: 0.6038
('No fibrosis.', 'Prominent fibrosis.'), Score: 0.6037
('Normal number of mitotic figures in germinal centers.', 'Increased number of mitotic figures in germinal centers.'), Score: 0.6032

Iteration 100:
('No hemorrhage.', 'Evidence of hemorrhage.'), Score: 0.7577
('No eosinophilic inclusions.', 'Eosinophilic inclusions within cells.'), Score: 0.7496
('No vascular invasion.', 'Evidence of vascular invasion.'), Score: 0.7271
('No vascular invasion.', 'Vascular invasion present.'), Score: 0.7262
('No nuclear pleomorphism.', 'Nuclear pleomorphism.'), Score: 0.7248
('No tingible body macrophages.', 'Increased tingible body macrophages.'), Score: 0.7237
('No increased nuclear-to-cytoplasmic ratio.', 'Increased nuclear-to-cytoplasmic ratio.'), Score: 0.7175
('Uniform lymphocyte size and shape.', 'Pleomorphic lymphocyte size and shape.'), Score: 0.7174
('No extra-follicular proliferation.', 'Extra-follicular proliferation present.'), Score: 0.7153
('No increase in mitotic activity.', 'Increased mitotic activity.'), Score: 0.7119
('No loss of nuclear polarity.', 'Loss of nuclear polarity.'), Score: 0.7116
('No increased vascularity.', 'Increased vascularity.'), Score: 0.7092
('No atypical cells in the interfollicular zone.', 'Presence of atypical cells in the interfollicular zone.'), Score: 0.7075
('Lymphocytes are small and round.', 'Lymphocytes are large and atypical.'), Score: 0.7071
('No fibrosis surrounding follicles.', 'Fibrosis surrounding follicles.'), Score: 0.6986
('No sinusoidal dilation.', 'Sinusoidal dilation present.'), Score: 0.6961
('No evidence of capsular invasion.', 'Capsular invasion present.'), Score: 0.6961
('No tingible body macrophages.', 'Increased number of tingible body macrophages.'), Score: 0.6914
('No hemorrhage.', 'Hemorrhage present.'), Score: 0.6902
('No perinuclear halo.', 'Prominent perinuclear halo.'), Score: 0.6895
('No fibrosis.', 'Fibrosis present.'), Score: 0.6876
('No increased eosinophilic cytoplasm.', 'Increased eosinophilic cytoplasm in cells.'), Score: 0.6859
('No capsular effacement.', 'Capsular effacement.'), Score: 0.6842
('No prominent nucleoli.', 'Prominent nucleoli observed.'), Score: 0.6830
('No stromal desmoplasia.', 'Stromal desmoplasia observed.'), Score: 0.6828
('Uniformly distributed lymphocytes.', 'Clustered lymphocyte aggregates.'), Score: 0.6821
('No evidence of lymphangitis.', 'Evidence of lymphangitis.'), Score: 0.6805
('No neutrophils.', 'Infiltration of neutrophils.'), Score: 0.6794
('Uniform nuclear staining.', 'Heterogeneous nuclear staining.'), Score: 0.6776
('No nuclear pleomorphism.', 'Nuclear pleomorphism observed.'), Score: 0.6758
('No fibrosis.', 'Increased fibrosis present.'), Score: 0.6755
('No increase in mitotic activity.', 'Increased mitotic activity observed.'), Score: 0.6743
('No evidence of tumor cell invasion into fat.', 'Tumor cell invasion into fat.'), Score: 0.6741
('Regular follicular architecture.', 'Disrupted follicular architecture.'), Score: 0.6729
('No sinusoidal dilation.', 'Sinusoidal dilation observed.'), Score: 0.6712
('Organized lymphoid architecture.', 'Disrupted lymphoid architecture.'), Score: 0.6706
('No vascular congestion.', 'Vascular congestion present.'), Score: 0.6703
('Absence of giant cells.', 'Presence of multinucleated giant cells.'), Score: 0.6702
('No loss of follicular polarity.', 'Loss of follicular polarity.'), Score: 0.6683
('No loss of normal nodal architecture.', 'Loss of normal nodal architecture.'), Score: 0.6628
('Normal lymphocyte morphology in the paracortex.', 'Atypical lymphocyte morphology in the paracortex.'), Score: 0.6617
('No discernible tumor necrosis.', 'Evidence of tumor necrosis.'), Score: 0.6611
('Normal staining of collagen.', 'Increased staining of collagen.'), Score: 0.6596
('No capsular involvement.', 'Capsular involvement present.'), Score: 0.6582
('No tingible body macrophages.', 'Tingible body macrophages present.'), Score: 0.6575
('No angioinvasion.', 'Angioinvasion.'), Score: 0.6571
('No fibrosis.', 'Presence of fibrosis.'), Score: 0.6527
('No sinusoidal infiltration.', 'Sinusoidal infiltration observed.'), Score: 0.6513
('No eosinophilic granular bodies.', 'Presence of eosinophilic granular bodies.'), Score: 0.6507
('No sinusoidal infiltration.', 'Sinusoidal infiltration present.'), Score: 0.6484
('No eosinophilic inclusions.', 'Eosinophilic inclusions observed.'), Score: 0.6481
('No giant cells.', 'Presence of giant cells.'), Score: 0.6473
('Uniform cell size and shape.', 'Variable cell size and shape.'), Score: 0.6466
('No prominent nucleoli.', 'Presence of prominent nucleoli in cells.'), Score: 0.6461
('Lymphocytes with regular nuclear features.', 'Lymphocytes with irregular nuclear features.'), Score: 0.6450
('No evidence of capsular involvement.', 'Capsular involvement present.'), Score: 0.6425
('No angiolymphatic invasion.', 'Angiolymphatic invasion by tumor cells.'), Score: 0.6410
('No capsular invasion.', 'Capsular invasion present.'), Score: 0.6375
('No granulomas present.', 'Granulomas present.'), Score: 0.6370
('Absence of hyaline globules.', 'Presence of hyaline globules.'), Score: 0.6367
('Absence of prominent nucleoli.', 'Presence of prominent nucleoli.'), Score: 0.6348
('No irregular nuclear membrane.', 'Irregular nuclear membrane.'), Score: 0.6327
('Scant cytoplasm in lymphocytes.', 'Abundant cytoplasm in lymphocytes.'), Score: 0.6311
('No perinuclear halo.', 'Perinuclear halo present.'), Score: 0.6304
('No giant cells.', 'Giant cells present.'), Score: 0.6283
('No extravasated red blood cells.', 'Extravasated red blood cells observed.'), Score: 0.6268
('No lymphoganglionic sinus dilation.', 'Lymphoganglionic sinus dilation.'), Score: 0.6266
('No eosinophilic inclusions.', 'Eosinophilic inclusions present.'), Score: 0.6263
('No giant cells.', 'Presence of multinucleated giant cells.'), Score: 0.6256
('Normal eosinophilic cytoplasm.', 'Increased eosinophilic cytoplasm.'), Score: 0.6238
('No lymphovascular invasion.', 'Lymphovascular invasion present.'), Score: 0.6231
('Normal number of mast cells.', 'Increased number of mast cells.'), Score: 0.6230
('No granulomas.', 'Presence of granulomas.'), Score: 0.6202
('Lymphocytes with regular nuclear contours.', 'Lymphocytes with irregular nuclear contours.'), Score: 0.6199
('Regular nuclear size and shape.', 'Irregular nuclear size and shape.'), Score: 0.6181
('Small, uniform nuclei.', 'Large, pleomorphic nuclei.'), Score: 0.6172
('Normal medullary cords.', 'Hyperplastic medullary cords.'), Score: 0.6165
('No fibrosis.', 'Increased fibrosis.'), Score: 0.6162
('No atypical lymphocytes.', 'Presence of atypical lymphocytes.'), Score: 0.6151
('No capsular involvement.', 'Capsular involvement by tumor.'), Score: 0.6133
('No prominent nucleoli.', 'Prominent nucleoli in cells.'), Score: 0.6119
('No angioinvasion.', 'Evidence of angioinvasion.'), Score: 0.6113
('Cells with normal nuclear-to-cytoplasmic ratio.', 'Cells with increased nuclear-to-cytoplasmic ratio.'), Score: 0.6106
('No capsular effacement.', 'Capsular effacement by tumor.'), Score: 0.6101
('Lymphocytes with low N/C ratio.', 'Lymphocytes with high N/C ratio.'), Score: 0.6096
('Normal follicular architecture.', 'Disrupted follicular architecture.'), Score: 0.6090
('Regular nuclear morphology.', 'Irregular nuclear morphology.'), Score: 0.6078
('No prominent Golgi apparatus.', 'Prominent Golgi apparatus in cells.'), Score: 0.6070
('No loss of follicular architecture.', 'Loss of follicular architecture.'), Score: 0.6065
('No nuclear pleomorphism.', 'Nuclear pleomorphism present.'), Score: 0.6057
('Lymph node with intact follicles.', 'Lymph node with disrupted follicles.'), Score: 0.6049
('No tangles of spindle cells.', 'Tangles of spindle cells observed.'), Score: 0.6044
('Normal lymphocyte size.', 'Increased lymphocyte size.'), Score: 0.6038
('No fibrosis.', 'Prominent fibrosis.'), Score: 0.6037
('Normal number of mitotic figures in germinal centers.', 'Increased number of mitotic figures in germinal centers.'), Score: 0.6032

Iteration 110:
('No vascular invasion.', 'Vascular invasion observed.'), Score: 0.7865
('No hemorrhage.', 'Evidence of hemorrhage.'), Score: 0.7577
('No eosinophilic inclusions.', 'Eosinophilic inclusions within cells.'), Score: 0.7496
('No vascular invasion.', 'Evidence of vascular invasion.'), Score: 0.7271
('No vascular invasion.', 'Vascular invasion present.'), Score: 0.7262
('No nuclear pleomorphism.', 'Nuclear pleomorphism.'), Score: 0.7248
('No tingible body macrophages.', 'Increased tingible body macrophages.'), Score: 0.7237
('No increased nuclear-to-cytoplasmic ratio.', 'Increased nuclear-to-cytoplasmic ratio.'), Score: 0.7175
('Uniform lymphocyte size and shape.', 'Pleomorphic lymphocyte size and shape.'), Score: 0.7174
('No extra-follicular proliferation.', 'Extra-follicular proliferation present.'), Score: 0.7153
('No fibrosis.', 'Fibrosis observed.'), Score: 0.7123
('No increase in mitotic activity.', 'Increased mitotic activity.'), Score: 0.7119
('No loss of nuclear polarity.', 'Loss of nuclear polarity.'), Score: 0.7116
('No increased vascularity.', 'Increased vascularity.'), Score: 0.7092
('No atypical cells in the interfollicular zone.', 'Presence of atypical cells in the interfollicular zone.'), Score: 0.7075
('Lymphocytes are small and round.', 'Lymphocytes are large and atypical.'), Score: 0.7071
('No fibrosis surrounding follicles.', 'Fibrosis surrounding follicles.'), Score: 0.6986
('No sinusoidal dilation.', 'Sinusoidal dilation present.'), Score: 0.6961
('No evidence of capsular invasion.', 'Capsular invasion present.'), Score: 0.6961
('No tingible body macrophages.', 'Increased number of tingible body macrophages.'), Score: 0.6914
('No hemorrhage.', 'Hemorrhage present.'), Score: 0.6902
('No perinuclear halo.', 'Prominent perinuclear halo.'), Score: 0.6895
('No fibrosis.', 'Fibrosis present.'), Score: 0.6876
('No increased eosinophilic cytoplasm.', 'Increased eosinophilic cytoplasm in cells.'), Score: 0.6859
('No capsular effacement.', 'Capsular effacement.'), Score: 0.6842
('No prominent nucleoli.', 'Prominent nucleoli observed.'), Score: 0.6830
('No stromal desmoplasia.', 'Stromal desmoplasia observed.'), Score: 0.6828
('Uniformly distributed lymphocytes.', 'Clustered lymphocyte aggregates.'), Score: 0.6821
('No evidence of lymphangitis.', 'Evidence of lymphangitis.'), Score: 0.6805
('No neutrophils.', 'Infiltration of neutrophils.'), Score: 0.6794
('Uniform nuclear staining.', 'Heterogeneous nuclear staining.'), Score: 0.6776
('No nuclear pleomorphism.', 'Nuclear pleomorphism observed.'), Score: 0.6758
('No fibrosis.', 'Increased fibrosis present.'), Score: 0.6755
('No increase in mitotic activity.', 'Increased mitotic activity observed.'), Score: 0.6743
('No evidence of tumor cell invasion into fat.', 'Tumor cell invasion into fat.'), Score: 0.6741
('Regular follicular architecture.', 'Disrupted follicular architecture.'), Score: 0.6729
('No sinusoidal dilation.', 'Sinusoidal dilation observed.'), Score: 0.6712
('Organized lymphoid architecture.', 'Disrupted lymphoid architecture.'), Score: 0.6706
('No vascular congestion.', 'Vascular congestion present.'), Score: 0.6703
('Absence of giant cells.', 'Presence of multinucleated giant cells.'), Score: 0.6702
('No loss of follicular polarity.', 'Loss of follicular polarity.'), Score: 0.6683
('No angioinvasion.', 'Evidence of angioinvasion by tumor cells.'), Score: 0.6640
('No loss of normal nodal architecture.', 'Loss of normal nodal architecture.'), Score: 0.6628
('Normal lymphocyte morphology in the paracortex.', 'Atypical lymphocyte morphology in the paracortex.'), Score: 0.6617
('No discernible tumor necrosis.', 'Evidence of tumor necrosis.'), Score: 0.6611
('Normal staining of collagen.', 'Increased staining of collagen.'), Score: 0.6596
('No capsular involvement.', 'Capsular involvement present.'), Score: 0.6582
('No tingible body macrophages.', 'Tingible body macrophages present.'), Score: 0.6575
('No angioinvasion.', 'Angioinvasion.'), Score: 0.6571
('No fibrosis.', 'Presence of fibrosis.'), Score: 0.6527
('No sinusoidal infiltration.', 'Sinusoidal infiltration observed.'), Score: 0.6513
('No eosinophilic granular bodies.', 'Presence of eosinophilic granular bodies.'), Score: 0.6507
('No sinusoidal infiltration.', 'Sinusoidal infiltration present.'), Score: 0.6484
('No eosinophilic inclusions.', 'Eosinophilic inclusions observed.'), Score: 0.6481
('No prominent nucleolus.', 'Large, irregular nucleoli.'), Score: 0.6477
('No giant cells.', 'Presence of giant cells.'), Score: 0.6473
('Uniform cell size and shape.', 'Variable cell size and shape.'), Score: 0.6466
('No prominent nucleoli.', 'Presence of prominent nucleoli in cells.'), Score: 0.6461
('Lymphocytes with regular nuclear features.', 'Lymphocytes with irregular nuclear features.'), Score: 0.6450
('No evidence of capsular involvement.', 'Capsular involvement present.'), Score: 0.6425
('Lymphocytes are evenly distributed.', 'Lymphocytes are arranged in clusters or sheets.'), Score: 0.6412
('No angiolymphatic invasion.', 'Angiolymphatic invasion by tumor cells.'), Score: 0.6410
('No capsular invasion.', 'Capsular invasion present.'), Score: 0.6375
('No granulomas present.', 'Granulomas present.'), Score: 0.6370
('Absence of hyaline globules.', 'Presence of hyaline globules.'), Score: 0.6367
('Absence of prominent nucleoli.', 'Presence of prominent nucleoli.'), Score: 0.6348
('No irregular nuclear membrane.', 'Irregular nuclear membrane.'), Score: 0.6327
('Scant cytoplasm in lymphocytes.', 'Abundant cytoplasm in lymphocytes.'), Score: 0.6311
('No perinuclear halo.', 'Perinuclear halo present.'), Score: 0.6304
('No lymphoglandular bodies.', 'Lymphoglandular bodies present.'), Score: 0.6292
('No giant cells.', 'Giant cells present.'), Score: 0.6283
('No extravasated red blood cells.', 'Extravasated red blood cells observed.'), Score: 0.6268
('No lymphoganglionic sinus dilation.', 'Lymphoganglionic sinus dilation.'), Score: 0.6266
('No eosinophilic inclusions.', 'Eosinophilic inclusions present.'), Score: 0.6263
('No giant cells.', 'Presence of multinucleated giant cells.'), Score: 0.6256
('Normal eosinophilic cytoplasm.', 'Increased eosinophilic cytoplasm.'), Score: 0.6238
('No lymphovascular invasion.', 'Lymphovascular invasion present.'), Score: 0.6231
('Normal number of mast cells.', 'Increased number of mast cells.'), Score: 0.6230
('Cells with normal nuclear-to-cytoplasmic ratio.', 'Cells with high nuclear-to-cytoplasmic ratio.'), Score: 0.6222
